lat,lon,country
31.62,-104.56,United States
38.83,-122.77,United States
39.54,-122.0,United States
60.0,-153.05,United States
31.64,-104.31,United States
18.07,-67.28,United States
34.16,-116.43,United States
60.02,-153.04,United States
35.9,-97.34,United States
60.32,-142.3,United States
32.18,-101.19,United States
61.6,-150.57,United States
32.39,-115.93,Mexico
33.9,-117.05,United States
37.35,-117.91,United States
31.62,-104.23,United States
46.2,-122.17,United States
32.5,-102.0,United States
40.81,-124.13,United States
40.27,-124.31,United States
36.84,54.94,Iran
32.36,-102.16,United States
31.65,-104.45,United States
33.25,-116.39,United States
61.76,-150.02,United States
61.3,-152.24,United States
33.26,-116.4,United States
31.61,-104.24,United States
35.64,-98.04,United States
63.4,-151.55,United States
63.16,-148.21,United States
61.27,-147.51,United States
61.03,-152.38,United States
61.3,-152.53,United States
37.5,-118.78,United States
61.29,-152.62,United States
60.98,-146.89,United States
35.45,-118.37,United States
62.22,-148.6,United States
60.93,-146.91,United States
62.15,-149.5,United States
62.13,-148.68,United States
64.63,-149.4,United States
33.19,-116.74,United States
31.58,-104.03,United States
39.15,-112.08,United States
61.0,-151.92,United States
33.26,-116.38,United States
17.97,-66.88,United States
34.45,-119.25,United States
59.92,-150.29,United States
17.95,-66.88,United States
-6.18,124.24,Indonesia
35.08,-119.16,United States
36.72,-116.16,United States
38.8,-122.76,United States
36.02,-117.78,United States
61.74,-150.91,United States
1.27,126.41,Indonesia
40.01,-111.86,United States
51.55,-177.28,United States
38.61,-122.81,United States
61.52,-149.89,United States
61.31,-146.58,United States
60.52,-152.96,United States
38.82,-122.77,United States
33.51,-116.38,United States
63.29,-151.74,United States
60.32,-141.2,United States
60.51,-152.71,United States
61.32,-151.79,United States
34.15,-116.43,United States
62.45,-148.18,United States
39.67,-123.97,United States
19.45,-155.38,United States
60.01,-153.06,United States
59.86,-151.8,United States
35.88,-117.71,United States
63.97,-145.59,United States
61.32,-151.13,United States
35.09,-119.15,United States
35.89,-97.35,United States
63.09,-151.34,United States
31.58,-104.18,United States
60.06,-153.08,United States
61.33,-152.11,United States
60.17,-152.35,United States
17.97,-66.83,United States
62.73,-149.65,United States
39.68,-120.12,United States
35.68,-117.54,United States
39.41,-119.93,United States
62.35,-151.02,United States
58.26,-155.55,United States
18.17,-66.73,United States
44.57,-110.73,United States
39.55,-120.02,United States
63.23,-151.09,United States
38.98,-119.07,United States
45.04,-66.88,Canada
64.47,-146.86,United States
31.62,-104.0,United States
35.09,-119.07,United States
36.72,-116.29,United States
36.73,-116.29,United States
60.05,-147.81,United States
37.55,-118.84,United States
36.76,-115.51,United States
44.57,-110.74,United States
45.45,-111.74,United States
32.97,89.95,China
60.5,-141.31,United States
61.34,-152.24,United States
49.37,-120.03,Canada
33.65,-116.92,United States
60.38,-152.4,United States
40.65,-124.24,United States
59.8,-148.75,United States
33.53,-116.58,United States
33.54,-116.58,United States
